ocid,category,is_repair,sector,title,value,region,locality,street,buyer,supplier_eik,supplier,n_tenderers,start_month,planned_days,overrun_days,has_amendment
ocds-e82gsb-509362,works,1,other,"„Инженеринг (проектиране, строителство и авторски надзор) за изпълнение на обект: „Основен ремонт, реконструкция, преуст",1641009.63,BG421,гр. Пловдив,пл. СТЕФАН СТАМБОЛОВ № 1,ОБЩИНА ПЛОВДИВ,201569095,АНВЕРС-КОНСТРУКТ ЕООД,,2,249,0,0
ocds-e82gsb-544644,works,0,other,Изграждане на пристройка-физкултурен салон и надстройка на обслужващи помещения към физкултурен салон за нови учебни ста,333567.62,BG333,гр.Шумен,ул. ХАРАЛАН АНГЕЛОВ №.17 А,"3-ТО ОСНОВНО УЧИЛИЩЕ ""ДИМИТЪР БЛАГОЕВ""",131382104,КРАСБИВАЛ ООД,,2,28,94,1
ocds-e82gsb-420431,works,0,other,"Монтаж на машини, тръбопроводи и технологично оборудване при разширение на инсталацията за високоефективно комбинирано п",439932.33,BG313,гр. Враца,ул. МАКСИМ ГОРКИ 9,ТОПЛОФИКАЦИЯ-ВРАЦА ЕАД,175329555,МОНТАЖИ КО ЕООД,,11,123,0,1
ocds-e82gsb-540822,works,0,other,"Инжен:""Енергийно обновяване на многоф.жил.сгр.с администр.адрес - гр.Г.Тошево, ул.""Ал.Стамб.“ №2А по проект: BG-RRP-4.02",222804.48,BG332,гр.Генерал Тошево,ул.ВАСИЛ АПРИЛОВ №.5,ОБЩИНА ГЕНЕРАЛ ТОШЕВО,202571423,СЕТАТЕХ ЕООД,,2,120,0,0
ocds-e82gsb-558570,works,1,other,ИЗПЪЛНЕНИЕ НА СМР ЗА ОБЕКТ: „РЕКОНСТРУКЦИЯ НА ОТКРИТ ДЕТСКИ ЦЕНТЪР ЗА КУЛТУРА И СПОРТ в УПИ XI кв.70 по ПУП на гр. ТОПОЛ,329598.24,BG422,гр.Тополовград,пл. ОСВОБОЖДЕНИЕ № 1,ОБЩИНА ТОПОЛОВГРАД,205403014,СПН КОНСТРУКШЪН ООД,,5,344,0,0
ocds-e82gsb-493950,works,1,water,"„Инженеринг (проектиране, авторски надзор и строителство) за обект: „Реконструкция и доизграждане на вътрешна водоснабди",7535900.84,BG425,гр. Кърджали,"бул.""България"" №.88",В и К ООД,113580690,НИВЕЛ СТРОЙ ЕООД,,1,168,0,0
ocds-e82gsb-370621,works,1,roads,"ОСНОВЕН РЕМОНТ, РЕКОНСТРУКЦИЯ И РЕХАБИЛИТАЦИЯ НА ПЪТИЩА НА ТЕРИТОРИЯТА НА ОБЩИНА КЪРДЖАЛИ, ПО 5 ОБОСОБЕНИ ПОЗИЦИИ",1539611.7,BG425,гр.Кърджали,бул. БЪЛГАРИЯ №41,ОБЩИНА КЪРДЖАЛИ,204070457,"""ПСП СТРОЙ"" АД",,6,568,0,1
ocds-e82gsb-495978,works,1,other,Изпълнение на строително-ремонтни работи за изграждане на „STEM център“ в Средно училище „Пейо Крачолов Яворов“ – Сливен,157000,BG342,гр.Сливен,ул. ГЕОРГИ САВА РАКОВСКИ №.20-А,"СРЕДНО УЧИЛИЩЕ ""ПЕЙО КРАЧОЛОВ ЯВОРОВ""",203047509,ГЕО - КРИ ЕООД,,7,64,0,0
ocds-e82gsb-510013,works,1,roads,"Инженеринг (проектиране, изпълнение на строително-монтажни работи и упражняване на авторски надзор) за обект: „Ремонт и ",108214.93,BG423,гр.Сърница,ул. СВОБОДА №.20,ОБЩИНА СЪРНИЦА,200562468,ВЕРА СТРОЙ ЕООД,,9,851,0,1
ocds-e82gsb-532066,works,1,other,Извършване на строително-монтажни работи по поддръжка и ремонт на административни сгради на ЕВН Електроразпределение Юг ,177430.07,BG421,гр. Пловдив,ул. Христо Г. Данов №37,Електроразпределение Юг ЕАД,115870467,НИРАМ ЕООД,,2,364,0,0
ocds-e82gsb-541347,works,1,other,"„Извършване на ремонтни дейности в административната сграда на Областна администрация на област София, гр. София, ул. „А",39248.34,BG411,гр.София,ул. АЛАБИН №.22,ОБЛАСТНА АДМИНИСТРАЦИЯ - ОБЛАСТ СОФИЯ,202082418,МАРИДЕЛ 2012 ЕООД,,12,63,42,1
ocds-e82gsb-559826,works,0,other,"Изпълнение на строително-монтажни работи за изграждане на STEM център в Лесотехническа професионална гимназия, гр. Берко",12516.66,BG312,гр.Берковица,ул. КАЛЕТО №.2,ЛЕСОТЕХНИЧЕСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ,207422535,Реновид ЕООД,,4,30,0,0
ocds-e82gsb-561357,works,0,other,Инсталиране на ФЕЦ/29.58 kW/ върху покривно пространство на съществуваща сграда на Център за обществена подкрепа /ЦОП/- ,41250,BG424,гр.Неделино,ул. АЛЕКСАНДЪР СТАМБОЛИЙСКИ №.104,ОБЩИНА НЕДЕЛИНО,207214350,СЪНПРО ПАУЪР БЪЛГАРИЯ ООД,,5,43,0,0
ocds-e82gsb-549300,works,0,other,"Инженеринг (проектиране, изпълнение на СМР и авторски надзор) на обект Аварийно-възстановитеʌни дейности в ПИ 10135.2569",1119540.04,BG331,гр.Варна,ул. ПРЕСЛАВ №.26,ОБЛАСТНА АДМИНИСТРАЦИЯ - ОБЛАСТ ВАРНА,119038763,ХИДРОРЕМОНТ-ИГ ООД,,2,589,0,0
ocds-e82gsb-528627,works,1,other,"„Ремонт на покриви на халета и хидроизолация в поделение „Дружба“ на „Столичен автотранспорт"" ЕАД ”",280808.73,BG411,гр. София,"ул. ""Житница"" № 21",СТОЛИЧЕН АВТОТРАНСПОРТ ЕАД,206602097,БРОЧЕ ЕООД,,2,60,0,0
ocds-e82gsb-384291,works,1,roads,"""Рехабилитация на път VAR 2116 Вълчи дол-Войводино-граница Община (Вълчи дол-Суворово)-Николаевка от км 5+000 до км 6+74",1127436.26,BG331,гр.Вълчи дол,пл. ХРИСТО БОТЕВ №1,ОБЩИНА ВЪЛЧИ ДОЛ,181048281,ПЪТИЩА 2023,,6,358,0,1
ocds-e82gsb-560073,works,0,other,"Изпълнение на СМР по проект: „Планинско училище без граници“ (акроним M.S.W.B), с проектен код: ROBG 00252, финансиран п",54999.99,BG312,гр.Берковица,пл. Йордан Радичков №4,ОБЩИНА БЕРКОВИЦА,205853495,РОСАТОМ СТРОЙ ЕООД,,5,469,0,0
