ocid,category,is_repair,sector,title,value,region,locality,street,buyer,supplier_eik,supplier,n_tenderers,start_month,planned_days,overrun_days,has_amendment
ocds-e82gsb-535049,services,1,parks,Покана 2 “Изготвяне на инвестиционен проект и упражняване на авторски надзор за обект: „Парк Република“ в ПИ 10135.3512.,50208.86,BG331,гр.Варна,бул. ОСМИ ПРИМОРСКИ ПОЛК №.43,ОБЩИНА ВАРНА,181382377,"""БЛАГОУСТРОЯВАНЕ ВАРНА 2024""ДЗЗД",,3,301,0,0
ocds-e82gsb-532487,goods,0,other,Доставка на системи за управление и контрол по договор BG-RRP-2.013-0001,57393.54,BG323,гр.Русе,ул. СТУДЕНТСКА №.8,"РУСЕНСКИ УНИВЕРСИТЕТ ""АНГЕЛ КЪНЧЕВ""",205655702,Дартек БГ ООД,,2,790,379,0
ocds-e82gsb-417348,works,1,roads,"Инженеринг (проектиране, упражняване на авторски надзор и изпълнение на СМР) за обект: ОСНОВЕН РЕМОНТ И РЕКОНСТРУКЦИЯ НА",865025.59,BG423,гр.Велинград,ул. ХАН АСПАРУХ №.35,ОБЩИНА ВЕЛИНГРАД,202027635,""" ЕКОДИН "" ЕООД",,11,773,0,1
ocds-e82gsb-548739,works,1,roads,"„Текущ ремонт на вътрешно квартално пространство - тротоарна настилка и оформяне на места за паркиране на ул. ""Стефан Ст",31102.21,BG343,гр.Ямбол,ул. Г.С.РАКОВСКИ №.7,ОБЩИНА ЯМБОЛ,200436836,ГОЧЕВ СТИЛ ЕООД,,2,236,0,0
ocds-e82gsb-545752,services,0,other,Избор на лицензиран оператор за отпечатване и предоставяне на ваучери за храна и тонизиращи напитки на персонала на ЦСМП,26587.17,BG323,гр.Русе,кв. ДРУЖБА-1,ЦЕНТЪР ЗА СПЕШНА МЕДИЦИНСКА ПОМОЩ - РУСЕ,131085380,ПЛЪКСИ БЪЛГАРИЯ ЕООД,,2,323,0,0
ocds-e82gsb-541085,goods,0,other,"„Доставка на обзавеждане, необходимо за изграждане на STEM център и ВОСКС“",33729.06,BG324,гр.Исперих,ул. ВАСИЛ ЛЕВСКИ №78,"ОСНОВНО УЧИЛИЩЕ ""ВАСИЛ АПРИЛОВ""",205414313,Сенциа ЕООД,,2,79,0,0
ocds-e82gsb-563204,goods,0,other,Доставка на лекарствени продукти за нуждите на МБАЛ „Св. Иван Рилски Горна Оряховица“ ЕООД въз основа на Рамково споразу,577.02,BG321,гр. Горна Оряховица,ул. ОТЕЦ ПАИСИЙ № 72,МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СВ. ИВАН РИЛСКИ ГОРНА ОРЯХОВИЦА ЕООД,203283623,ФЬОНИКС Фарма ЕООД,,2,588,0,0
ocds-e82gsb-552645,services,0,other,Създаване на образователно съдържание във VR и обучителни модули в областта на римското културно-историческо наследство,265875,BG314,Белене,"ул. ""България"" №35",ОБЩИНА БЕЛЕНЕ,201849161,ТОРНАДО СТУДИО ООД,,5,224,0,1
ocds-e82gsb-545278,works,0,other,„Изпълнение на строително-монтажни работи за изграждане на стоеж: Фотоволтаична инсталация за производство на електричес,28984.63,BG413,гр.Гоце Делчев,ул. СИМЕОН РАДЕВ №.6,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО МЕХАНИЗАЦИЯ НА СЕЛСКОТО СТОПАНСТВО ""ПЕЙО К. ЯВОРОВ""",101663501,ЕЛИНСТАЛ ООД,,4,19,0,0
ocds-e82gsb-549203,goods,0,other,ДОСТАВКИ И УСЛУГИ ПО КОНЦЕПЦИЯ ЗА ИЗГРАЖДАНЕ НА УЧИЛИЩНА СТЕМ СРЕДА” ПРИ ИЗПЪЛНЕНИЕ НА ПРОЦЕДУРА BG-RRP-1.015 „УЧИЛИЩНА ,39931.9,BG341,гр.Айтос,ул. ШЕЙНОВО №.1,"ОСНОВНО УЧИЛИЩЕ ""АТАНАС МАНЧЕВ""",205631733,Спектър Лимитлес ЕООД,,2,111,0,0
